500 15000 15000
1 994 2147 3650
2 54 1274 1340
3 1179 1759 2836
4 951 1953 2930
5 1369 383 1945
6 767 2840 3441
7 1297 2640 4633
8 21 1657 1965
9 1247 1048 2179
10 96 642 736
11 923 1455 2499
12 1264 1150 2253
13 916 1353 2601
14 192 50 247
15 524 885 1502
16 99 592 629
17 25 2049 2089
18 640 1999 2902
19 1047 1587 2911
20 300 112 1356
21 1100 2761 4550
22 368 1554 2079
23 638 290 982
24 312 1832 2026
25 20 2387 2686
26 593 2614 3050
27 457 124 579
28 1391 799 2094
29 1199 888 2288
30 1408 2858 4985
31 250 2480 3097
32 856 2017 2985
33 99 220 1478
34 351 2457 2887
35 702 2576 3541
36 563 532 1169
37 1172 1629 2754
38 759 2858 4001
39 845 1854 3116
40 184 1179 1388
41 39 47 91
42 1104 1423 2741
43 773 1001 1938
44 262 526 806
45 1077 888 2181
46 351 2448 3168
47 1350 124 1398
48 540 1351 1994
49 755 713 1417
50 793 2336 3375
51 1498 535 2207
52 592 126 760
53 1187 1418 2515
54 1408 382 1901
55 566 82 601
56 1155 2188 3846
57 1304 1172 2439
58 25 149 1226
59 1383 2088 3450
60 950 2066 3467
61 77 110 1205
62 411 412 863
63 1433 297 1808
64 322 42 352
65 150 2227 2301
66 221 173 355
67 1338 2118 3506
68 255 2316 2556
69 164 2640 3247
70 632 912 1532
71 1334 880 2568
72 588 2730 3599
73 128 2987 3137
74 1200 2152 3802
75 183 696 973
76 1452 236 1715
77 1239 1557 3279
78 366 2956 3214
79 990 2792 3764
80 1026 691 1835
81 1286 878 2352
82 704 1654 2437
83 75 135 198
84 1241 648 1878
85 935 1423 2184
86 298 111 1441
87 296 2999 3361
88 231 2061 2126
89 1241 635 1831
90 761 680 1360
91 1418 826 2353
92 45 70 1494
93 491 249 873
94 839 2906 3941
95 1093 2319 3918
96 824 2441 3779
97 1053 2 1261
98 496 2085 2955
99 1147 1241 2743
100 49 2282 2350
101 1020 584 1748
102 290 2364 2793
103 1288 576 1985
104 217 1054 1162
105 1189 340 1716
106 753 1726 2593
107 214 2092 2614
108 356 1022 1516
109 1310 526 2101
110 74 169 1434
111 734 1440 2230
112 309 2124 2888
113 258 2016 2496
114 1203 1618 3171
115 373 1708 2159
116 99 760 992
117 1288 2250 4212
118 241 701 952
119 423 1361 1885
120 1024 1732 2887
121 1240 710 1792
122 239 937 1378
123 585 192 720
124 1329 2959 4224
125 755 708 1356
126 1328 469 2124
127 754 1099 1875
128 1116 1421 2814
129 522 1951 2840
130 1080 1555 2652
131 957 1729 2757
132 659 476 1288
133 1454 701 2448
134 333 340 733
135 267 2724 3161
136 1054 2199 3317
137 1168 1273 2561
138 1399 2041 4058
139 427 510 895
140 225 166 368
141 502 268 917
142 976 115 1237
143 1412 622 2318
144 5 162 1380
145 1383 1527 3084
146 696 1586 2418
147 683 343 1183
148 418 973 1436
149 654 1066 1919
150 268 448 790
151 738 2720 3333
152 555 1943 2641
153 975 638 1579
154 994 1383 2366
155 750 1508 2426
156 1387 609 2201
157 843 293 1030
158 978 1230 2202
159 1012 723 1774
160 1448 29 1490
161 1231 1544 3180
162 1073 246 1519
163 792 1438 2294
164 7 111 1000
165 1372 159 1836
166 1129 2506 3354
167 368 1950 2748
168 121 1373 1783
169 1240 2028 3753
170 971 2457 3211
171 148 104 1073
172 43 1410 1567
173 222 720 1066
174 574 1022 1755
175 1314 961 2688
176 202 1085 1272
177 137 151 1107
178 1049 456 1443
179 567 590 1205
180 1414 1799 3506
181 1245 342 1603
182 1117 2449 3810
183 803 2164 2944
184 1038 2975 4190
185 927 820 2067
186 626 1377 1817
187 668 93 892
188 769 2000 3015
189 432 2171 2619
190 157 1083 1282
191 159 2512 2917
192 1037 1779 3109
193 90 1951 1858
194 843 286 1254
195 280 187 1015
196 376 63 425
197 220 1663 1712
198 1315 1988 3261
199 113 268 390
200 901 1391 2134
201 849 2772 3848
202 871 1638 2375
203 670 1759 2434
204 294 2268 2463
205 1416 1352 3092
206 2 1853 2032
207 1269 1240 2936
208 48 2405 2786
209 1296 2324 4195
210 1364 122 1353
211 1315 538 1872
212 1375 749 2332
213 269 16 1431
214 1422 62 1741
215 177 781 896
216 1226 2341 3376
217 1236 726 2208
218 1002 2585 4033
219 1167 266 1672
220 1228 1644 3041
221 467 2582 2850
222 501 1925 2381
223 755 1554 2447
