1000 23000 23000
1 111 4464 5144
2 974 1804 2820
3 133 303 1082
4 2113 3862 5970
5 1997 4507 6376
6 146 1743 2033
7 1121 1525 2499
8 844 1153 2317
9 453 2097 2451
10 1465 107 1805
11 435 215 1478
12 1067 2710 4028
13 346 1843 2008
14 1215 3392 4754
15 1571 4085 5196
16 937 3661 5368
17 67 3009 3239
18 269 85 1260
19 120 2304 2635
20 1757 3479 4767
21 1143 3613 4287
22 2137 1581 4012
23 1292 2712 4126
24 2029 2582 5513
25 486 1623 1931
26 675 230 995
27 1279 2016 3485
28 98 4154 4673
29 2273 817 3463
30 1164 1085 2564
31 852 4465 6107
32 1429 980 2318
33 1085 2211 3225
34 2258 3539 6684
35 1685 1810 3560
36 2259 3677 6936
37 1764 663 2307
38 2201 4177 7423
39 1558 1541 3610
40 337 4583 4824
41 845 3958 4455
42 2075 2575 4644
43 1581 1675 3839
44 1604 3090 4475
45 115 1808 2174
46 2112 1991 4659
47 1426 22 1335
48 408 4576 4951
49 1786 3287 5227
50 937 4202 5915
51 220 3445 3725
52 584 929 1731
53 271 1851 2366
54 1084 425 1692
55 1514 3795 5533
56 859 1110 2224
57 1471 3006 4232
58 709 117 978
59 1597 4431 5867
60 375 721 1264
61 179 1369 1435
62 330 1735 2074
63 1315 3028 4149
64 793 2225 3603
65 1669 3164 4915
66 247 3703 4148
67 1277 2026 3139
68 878 3490 4102
69 1964 1585 3285
70 1517 1071 2660
71 1636 1769 3541
72 907 1930 2646
73 1991 4456 7034
74 1134 512 1747
75 1868 1764 3503
76 1285 3156 5184
77 454 2099 2804
78 1006 283 1413
79 2287 1875 3828
80 53 2688 2541
81 1085 1922 3283
82 838 4089 5749
83 385 2391 3187
84 675 3232 3607
85 388 2023 2869
86 212 1611 2138
87 1520 682 2115
88 1542 996 2554
89 261 19 1282
90 125 1905 2142
91 1485 3299 4897
92 289 1261 1806
93 2078 4014 6454
94 2144 1325 3256
95 1196 4236 5879
96 1106 2940 3676
97 105 1658 1632
98 212 792 1133
99 1363 3959 5505
100 335 131 1213
101 841 1607 2730
102 498 4155 4969
103 478 3731 4917
104 1807 3474 5222
105 2133 3663 5492
106 1642 2183 3703
107 1556 1083 2389
108 527 2283 2959
109 1905 1082 2817
110 1465 796 2682
111 2112 2534 5283
112 42 241 1097
113 810 1882 2772
114 1916 2165 4680
115 875 1231 1965
116 716 2268 3043
117 2037 3632 5554
118 221 4201 5100
119 407 630 1229
120 462 2750 3747
121 1892 1012 3282
122 1893 3522 6386
123 605 140 690
124 256 1686 2225
125 2210 3656 6399
126 2140 1817 4660
127 754 410 1348
128 1620 3636 5804
129 970 1228 2219
130 1719 2502 4424
131 1038 3961 5889
132 908 1121 2382
133 672 802 1472
134 412 2724 3208
135 1782 4346 5614
136 1719 527 2493
137 328 163 1198
138 1402 914 2391
139 905 1150 2306
140 1451 2118 3690
141 2146 3999 6291
142 157 1458 1570
143 134 406 1015
144 1469 48 1646
145 16 128 1016
146 2004 957 2788
147 1382 915 2087
148 526 2580 3564
149 1760 1014 2744
150 188 388 1097
151 1900 4591 6347
152 2038 2854 4602
153 1848 1811 3385
154 1546 4032 5851
155 382 1073 1691
