500 15000 15000
1 1170 1416 2888
2 130 2498 2732
3 194 1460 1691
4 828 1525 2634
5 564 727 1484
6 1483 133 1786
7 1005 1177 2152
8 1144 1169 2775
9 993 2724 3456
10 74 1569 1943
11 40 1349 1285
12 9 1167 1208
13 235 667 967
14 32 32 66
15 1490 2908 4549
16 767 1324 2160
17 1313 1840 2941
18 327 405 663
19 1399 593 1856
20 1287 1155 2521
21 701 2532 3214
22 491 2349 2790
23 1397 10 1408
24 1383 1220 2548
25 314 1632 1861
26 212 1234 1358
27 600 1557 2578
28 241 856 1151
29 1407 415 2086
30 813 2784 3952
31 1265 2955 4788
32 1121 1210 2475
33 476 1838 2127
34 1108 1092 2157
35 365 170 574
36 1361 1928 3561
37 1376 2423 3447
38 1051 130 1122
39 1312 2232 3539
40 305 1563 2103
41 1199 2014 3152
42 591 2374 3421
43 987 2830 4118
44 1095 900 1990
45 928 1642 3030
46 1168 325 1359
47 85 1251 1465
48 639 560 1190
49 734 1432 2026
50 589 1861 2776
51 1250 2163 4062
52 955 2709 3905
53 687 1500 2577
54 1196 2683 3530
55 1240 1887 3671
56 965 381 1492
57 574 296 901
58 480 2300 2832
59 339 1653 2285
60 369 474 988
61 758 2993 4077
62 1009 1526 2733
63 182 1962 2273
64 597 1163 1867
65 1378 2759 4633
66 1103 624 1984
67 843 2830 3990
68 1370 2999 4862
69 1351 2940 4342
70 943 447 1558
71 436 2832 3307
72 1314 776 2060
73 339 2097 2700
74 855 2187 3493
75 498 2091 3022
76 407 2194 2617
77 459 1405 1951
78 994 1370 2159
79 1315 289 1886
80 1345 531 2109
81 1052 2758 3591
82 155 2411 2456
83 743 1078 1847
84 759 2309 3457
85 138 2829 2899
86 857 462 1461
87 1483 1032 2907
88 254 2531 2999
89 1429 820 2646
90 198 442 765
91 1453 2925 5114
92 543 2017 2469
93 371 258 722
94 622 391 1086
95 479 764 1378
96 991 728 1975
97 225 1298 1403
98 847 2133 3172
99 726 1519 2108
100 516 1368 1793
101 278 599 1024
102 367 1733 2191
103 305 1233 1438
104 589 1926 2390
105 522 100 728
106 310 2448 3065
107 702 2788 3147
108 733 2224 2710
109 1440 2267 3505
110 949 349 1263
111 1076 1837 2988
112 1220 575 1799
113 566 1923 2762
114 759 2398 3350
115 414 1380 2055
116 1191 1253 2442
117 563 1399 2291
118 490 2213 2923
119 532 398 935
120 1114 1496 3102
121 482 1164 1792
122 964 323 1393
123 928 2068 3331
124 1035 2478 4192
125 197 1930 2020
126 482 826 1401
127 982 793 1618
128 894 561 1400
129 1305 1079 2253
130 304 1340 1592
131 951 1399 2559
132 1157 2996 4397
133 356 2303 2885
134 879 1396 2673
135 639 1850 2410
136 368 1311 1702
137 151 583 843
138 1096 2276 3489
139 134 1353 1673
140 633 1496 2079
141 1162 124 1399
142 323 2742 3530
143 556 1409 2153
144 721 2435 3104
145 677 1535 2239
146 1291 1455 3102
147 1136 347 1708
148 248 2324 2898
149 1156 907 2093
150 1154 1297 2781
151 1385 2400 3711
152 958 2507 3848
153 401 2793 2923
154 728 1288 1936
155 118 556 721
156 890 1031 2148
157 405 1850 2494
158 299 2880 3556
159 741 640 1522
160 1358 1190 2475
161 129 230 394
162 1098 413 1780
163 131 2476 2552
164 1427 796 2437
165 770 2309 3212
166 1078 515 1782
167 682 2564 3682
168 42 1098 1240
169 963 2379 3124
170 549 1007 1587
171 1005 833 1875
172 1368 2465 4441
173 366 1528 1921
174 178 398 641
175 467 443 935
176 1155 2191 3789
177 1384 1704 3449
178 340 357 731
179 527 1876 2299
180 929 2402 3487
181 289 936 1338
182 1186 1209 2564
183 1032 616 1740
184 353 1203 1497
185 28 2138 2221
186 1175 2664 3735
187 21 707 798
188 351 2950 3674
189 111 1977 2474
190 526 2432 3455
191 1095 1827 3227
192 715 2087 3268
193 149 1312 1753
194 280 807 1290
195 552 999 1424
196 426 2774 3559
197 920 2527 3635
198 74 2467 2674
199 1166 1647 2764
200 88 2631 2910
201 526 1823 2181
202 664 1195 1770
203 97 285 445
204 433 2147 2401
205 811 1080 2252
206 1159 1765 3488
207 1046 308 1280
208 182 404 692
209 484 280 878
210 922 2865 3626
211 9 2639 2945
212 1203 319 1617
213 1390 190 1887
214 807 1974 3174
215 716 548 1469
216 255 1866 2214
217 1192 1671 3001
218 1381 1228 3067
219 1040 850 1926
220 970 2761 4032
221 146 392 620
222 963 2963 4669
223 1175 2800 3849
224 1490 2828 4351
225 311 460 782
226 1064 2355 3320
227 108 296 421
228 524 660 1291
229 653 1455 2023
230 589 923 1782
231 383 67 498
232 1369 1358 2509
233 775 2452 2954
234 1403 2373 3575
235 169 2845 3260
236 1133 1582 2557
237 670 803 1506
238 1417 2586 3922
239 783 2299 2880
240 1386 736 2405
241 1408 1382 3311
242 1017 954 1872
243 1444 620 1909
244 809 1235 2112
245 494 2494 3469
246 975 2448 3179
247 276 1861 2103
248 169 2647 3223
249 632 2296 2930
250 1385 2740 4744
251 1255 161 1435
252 1464 2018 3929
253 522 758 1273
254 418 784 1144
255 1371 1472 2660
256 254 1933 2496
257 460 1242 1623
258 1392 1872 3732
259 597 2007 2771
260 795 1741 2415
261 266 2709 2897
262 1124 2228 3911
263 650 1255 2121
264 637 439 1168
265 1210 1840 3451
266 580 2224 3172
267 853 1425 2227
268 1167 2834 3634
269 1330 2074 3622
270 1222 2973 4307
271 463 1642 2249
272 900 492 1521
273 885 1795 2742
274 960 2049 3067
275 106 1115 1185
276 223 30 282
277 425 2023 2725
278 1194 2390 3868
279 238 219 445
280 789 642 1596
281 378 2190 2408
282 1389 1871 3298
283 582 2824 3448
284 356 759 1295
285 541 2163 2436
286 46 272 325
287 1362 2379 4426
288 1003 1259 2111
289 779 1499 2269
290 1333 1926 3281
291 1265 2851 4737
292 118 24 160
293 1306 2559 4361
294 1258 717 1959
295 1269 501 1736
296 229 138 396
297 164 1533 1823
298 780 713 1434
299 153 1785 2047
300 811 224 1058
301 1396 2619 4279
302 80 1872 1973
303 395 2255 2780
304 1011 2152 3338
305 11 878 1017
306 320 1790 1941
307 138 1963 2478
308 889 1145 2186
309 420 1073 1614
310 1354 1320 3165
311 1221 1606 2658
312 1130 2051 3776
313 1062 32 1297
314 251 2046 2431
315 881 2103 2766
316 370 2122 2265
317 876 743 1636
318 1280 1171 2796
319 816 57 1043
320 1086 1140 2224
321 973 38 948
322 418 2999 3414
323 423 1789 2360
324 538 1615 2418
325 234 95 311
326 1081 167 1451
327 606 1091 1737
328 331 359 633
329 569 811 1246
330 710 1723 2249
331 1017 2692 4383
332 1309 1094 2594
333 956 2056 3530
334 1117 521 1544
335 409 2451 3147
336 1396 1837 3211
337 677 2191 3276
338 1362 2032 3233
339 359 2549 2693
340 256 1274 1645
341 1199 1061 2709
342 813 128 1085
343 1065 1310 2274
344 589 2786 3720
345 417 1239 1933
346 332 1136 1446
347 420 1341 1643
348 3 2426 2456
349 458 2827 3900
350 400 2056 2577
351 193 1898 2135
352 434 2481 2664
353 389 1939 2567
354 1109 2553 3714
355 863 1629 2473
356 1138 2105 3601
357 762 2293 2940
358 259 1577 2084
359 1279 706 2150
360 826 2950 3613
361 1420 2456 4643
362 276 348 680
363 497 996 1741
364 374 1349 1817
365 777 2121 3396
366 231 1064 1488
367 327 6 385
368 277 1537 1711
369 376 798 1223
370 1204 1848 2771
371 963 337 1557
372 775 674 1366
373 697 2290 2826
374 13 1299 1312
375 1170 2170 3128
376 688 2328 2844
377 1239 194 1510
378 580 2998 3337
379 571 123 642
380 218 1087 1466
381 1428 2558 3901
382 426 800 1111
383 745 2757 3737
384 636 2131 2963
385 1469 1251 2860
386 256 1500 1606
387 1444 723 2352
388 238 1342 1512
389 1048 247 1549
390 1041 388 1288
391 702 2722 3727
392 603 1095 1661
393 82 990 1230
394 808 436 1303
395 821 623 1593
396 953 1382 2353
397 111 1132 1436
398 635 1942 2647
399 63 1856 1749
400 72 2189 2239
401 735 1732 2811
402 234 757 928
403 49 335 456
404 902 1322 2512
405 531 1648 2360
406 472 388 879
407 1424 2331 4408
408 798 1867 2403
409 887 553 1399
410 443 167 628
411 150 1417 1790
412 983 2009 2883
413 381 1968 2712
414 726 2642 3967
415 480 187 749
416 1130 2576 4001
417 185 1757 1813
418 1445 737 2564
419 1008 1735 2788
420 1163 198 1271
421 1435 1943 3884
422 415 1032 1379
423 773 1442 2167
424 1016 1458 2741
425 483 436 968
426 567 981 1627
427 857 1742 2346
428 1302 2375 4053
429 624 2067 2452
430 1316 658 2343
431 219 2401 2722
432 13 1834 2089
433 143 1064 1326
434 1198 1496 2694
435 1125 95 1174
436 294 2752 3550
437 800 911 1749
438 987 545 1602
439 543 1258 1660
440 911 2700 3930
441 393 940 1357
442 1492 396 2261
443 1077 1663 2808
444 2 656 728
445 1391 2442 3457
446 480 2191 2687
447 162 900 1092
448 478 2714 3075
449 914 1513 2863
450 917 1840 3165
451 1498 2641 3951
452 1167 2873 3772
453 281 412 723
454 21 2612 2535
455 954 564 1665
456 1500 2504 4281
457 882 2787 3727
458 741 492 1255
459 381 2368 2876
460 1110 1002 2220
461 265 1254 1505
462 844 1854 2737
463 1489 2432 3744
464 986 687 1747
465 891 2066 2962
466 70 1016 1034
467 71 1248 1498
468 610 2758 3263
469 321 1208 1650
470 165 986 1236
471 696 180 1035
472 1176 2068 3419
473 1015 252 1328
474 1301 2653 4070
475 1217 685 1889
476 1484 444 1902
477 678 1483 2491
478 875 2814 3883
479 1115 2536 3658
480 1092 1311 2529
481 292 2311 3035
482 1079 600 1870
483 230 192 445
484 1353 287 1597
485 1359 1647 3185
486 1203 993 2204
487 460 2782 3283
488 1075 943 1918
489 1139 1074 2067
490 946 1164 2235
491 310 1831 2322
492 568 261 783
493 901 139 1211
494 597 463 975
495 1327 2438 4006
496 697 1371 2194
497 532 2515 3196
498 719 2486 3085
499 711 1203 1941
500 550 154 777

35826
