1000 23000 10000
1 2030 1887 3969
2 1520 653 2204
3 1712 1082 2736
4 327 867 1326
5 240 882 1141
6 569 709 1288
7 1003 1339 2168
8 1982 759 3151
9 998 195 1199
10 1451 850 2219
11 1119 1414 2682
12 2247 830 3542
13 91 789 846
14 1157 1206 2290
15 971 843 1979
16 283 1454 1934
17 228 293 543
18 134 1532 1742
19 394 1230 1716
20 1159 172 1303
21 1755 661 2814
22 1875 1761 3660
23 365 1097 1469
24 992 1075 2073
25 1364 1623 3414
26 452 1214 1974
27 598 1124 1657
28 1745 1699 3910
29 604 1469 2216
30 1825 264 2217
31 2102 1779 4078
32 1658 925 2939
33 1356 1760 3210
34 1496 441 1781
35 195 1873 2188
36 208 1341 1820
37 479 1503 2204
38 186 16 218
39 222 651 960
40 2086 1415 3782
41 971 42 1002
42 50 759 946
43 727 1328 2398
44 2202 1381 4113
45 705 1998 3061
46 489 580 1258
47 483 1462 2017
48 563 1583 1988
49 1382 1843 3385
50 1121 995 2132
51 2169 1007 3320
52 1446 1484 3320
53 2209 1124 3768
54 903 113 950
55 1997 941 3448
56 1994 393 2150
57 827 1630 2436
58 611 252 1034
59 77 1187 1413
60 1785 425 2166
61 2181 731 2644
62 1503 874 2815
63 1285 1806 3344
64 2188 1820 4265
65 472 497 965
66 2287 1320 3647
67 1793 147 1851
68 1159 1762 2913
69 1425 518 2053
70 2179 676 2693
71 1644 266 2172
72 1313 962 2563
73 87 1878 2189
74 1760 1389 2839
75 751 1450 2045
76 557 230 901
77 350 1752 2067
78 300 1961 2057
79 1283 454 1911
80 1573 1930 3286
81 1765 204 2285
82 725 1656 2364
83 2044 1383 3248
84 1374 213 1661
85 1299 393 1545
86 1408 839 2675
87 1627 1499 3225
88 1825 1847 4276
89 1129 1877 2722
90 863 1464 2240
91 2017 1663 3511
92 697 1716 2327
93 640 854 1487
94 912 1888 3301
95 832 1848 3037
96 2281 1856 4180
97 405 888 1432
98 1535 97 1488
99 1898 599 2625
100 879 1035 2011
101 1589 239 1997
102 1242 458 1906
103 2220 222 2550
104 2149 224 2580
105 890 911 1841
106 150 43 186
107 213 1997 2366
108 2119 457 2584
109 121 601 777
110 1194 446 1715
111 2127 1665 4536
112 2194 1093 3072
113 114 1576 1528
114 379 1891 2199
115 1373 366 1636
116 1204 1117 2636
117 1986 300 2275
118 1714 1243 3236
119 2014 1931 4642
