50 1000 1000
1 51 102 174
2 13 10 21
3 36 32 81
4 61 20 87
5 4 161 189
6 17 160 213
7 23 161 221
8 19 136 151
9 29 142 170
10 14 33 44
11 11 37 49
12 67 154 235
13 8 33 49
14 80 124 217
15 26 60 99
16 47 106 178
17 6 197 232
18 97 82 175
19 3 8 13
20 77 167 237
21 29 11 47
22 4 93 91
23 71 78 171
24 15 172 192
25 41 119 154
26 54 115 163
27 10 129 166
28 57 53 111
29 25 81 110
30 47 152 206
31 31 145 179
32 21 145 167
33 54 193 227
34 60 3 64
35 20 52 72
36 70 32 97
37 66 22 83
38 84 119 215
39 1 139 147
40 91 55 175
41 61 63 129
42 52 29 77
43 10 176 213
44 42 74 105
45 48 10 65
46 24 136 177
47 19 189 245
48 57 170 267
49 14 53 81
50 7 186 215

2181
