1000 23000 23000
1 1525 2354 4407
2 1596 696 2650
3 1045 1956 3038
4 1788 2913 4767
5 846 2984 4189
6 296 4321 5519
7 1704 3146 5524
8 372 3285 3378
9 1619 3851 6023
10 16 784 749
11 1720 2031 3491
12 206 1713 1953
13 1458 712 2178
14 198 2961 2905
15 1 621 575
16 1046 3384 4457
17 224 2687 3467
18 2152 4342 7779
19 2230 2217 4749
20 486 1256 1677
21 1047 3193 4992
22 1361 2434 3631
23 1498 401 1847
24 304 1674 2004
25 1909 3956 5504
26 2068 1191 3833
27 1772 4067 5362
28 1141 3616 5608
29 222 690 1037
30 2278 2185 4435
31 941 3080 4053
32 115 2718 2714
33 225 2718 3022
34 606 923 1726
35 543 4537 5355
36 1335 4156 5235
37 877 2072 3265
38 1838 1432 3866
39 1515 3559 4591
40 1547 979 2695
41 34 2154 2313
42 747 668 1517
43 111 1112 1199
44 1738 1535 3871
45 649 4347 4851
46 933 1181 2346
47 305 736 1191
48 620 1700 2148
49 1913 3428 5756
50 541 4156 5090
51 430 2485 2690
52 1192 268 1746
53 1230 2216 3382
54 1592 3465 5102
55 311 528 874
56 719 2888 3841
57 1020 2160 3647
58 1857 2838 4857
59 2124 1663 3635
60 595 2461 3068
61 80 1407 1583
62 668 882 1752
63 1830 3879 5225
64 1672 2577 4456
65 417 1987 2357
66 1708 1946 3298
67 1331 2 1435
68 886 1358 2110
69 1766 4221 5486
70 1746 2371 4662
71 203 3613 3756
72 791 3318 4104
73 2026 825 2834
74 1728 1235 3235
75 1286 1740 3379
76 127 1369 1417
77 1200 49 1395
78 2142 1065 3141
79 919 161 1100
80 510 2363 2819
81 2249 1150 3899
82 1950 499 2353
83 1047 2498 3765
84 277 842 1207
85 843 1648 2358
86 1437 1391 2765
87 851 306 1276
88 2080 2070 4377
89 912 992 2086
90 1212 539 1578
91 2039 634 2453
92 2158 1882 3817
93 1590 3019 4259
94 1848 3689 6641
95 1188 1976 2928
96 729 787 1813
97 1044 4337 6328
98 2022 4214 6044
99 2043 3760 6373
100 1368 1886 3257
101 1733 870 2638
102 302 3898 4448
103 1490 3505 4790
104 1326 3951 4761
105 148 3679 3634
106 1327 2085 3842
107 1927 1667 3416
108 1834 78 1974
109 1748 2089 4257
110 375 168 525
111 1223 1791 3449
112 460 222 724
113 1065 2022 3635
114 1807 3466 4839
115 1525 2327 3494
116 974 4113 5880
117 1111 1664 3052
118 1629 3004 4341
119 868 4007 5022
120 2259 3150 6176
121 1045 4243 6212
122 556 2095 2994
123 1865 3243 5892
124 1050 2830 3922
125 2105 1813 4634
126 1428 1237 2803
127 200 3458 3351
128 31 1027 1053
129 1635 2992 5327
130 2212 3902 6887
131 1205 1115 2460
132 225 1779 1843
133 435 363 793
134 448 1028 1510
135 1778 3518 5010
136 2008 1580 3725
137 767 2389 2963
138 859 817 1624
139 312 173 525
140 1202 704 1957
141 1825 4275 6698
142 612 2928 3407
143 174 540 828
144 1047 2051 3206
145 481 3531 4059
146 816 2185 3576
147 2036 3006 5156
148 1270 2731 4087
149 1285 377 1651
150 1588 3073 4941
151 608 1617 2338
152 1096 743 2191
153 897 4129 4781
154 963 2402 3035
155 106 1756 2142
156 508 667 1220
157 441 1781 2365
158 1122 871 1982
159 1359 127 1767
160 1420 2267 4038
161 1165 3737 5050
162 1289 1491 3276
163 1827 1899 3403
164 1754 687 2762
165 1860 3813 6180
166 1490 322 1721
167 2238 2307 4859
168 196 2239 2192
169 1636 674 2406
170 1749 1664 3897
171 907 3802 4332
172 563 4158 5120
173 98 1247 1518
174 1327 3465 4774
175 930 3494 4777
176 1918 715 2775
177 1496 3117 4978
178 924 1617 2504
179 2072 4197 5972
180 809 3911 4964
181 2054 3033 5989
182 501 2118 3097
183 437 1598 1911
184 372 1961 2373
185 1689 882 2780
186 1311 659 2151
187 1458 2059 4061
188 1958 2992 4623
189 882 252 1203
190 732 1318 1878
191 995 557 1749
192 51 1034 1265
193 359 1971 2131
194 1243 2388 3958
195 1019 2535 3566
196 406 3001 3487
197 2259 2770 5036
198 794 292 1303
199 749 2639 3247
200 2118 2078 4185
201 2255 1014 3848
202 902 553 1632
203 602 1657 2336
204 1037 1729 2958
205 163 2790 3386
206 1923 4548 6131
207 2197 4022 7089
208 1793 3903 6440
209 2258 3909 5639
210 128 122 280
211 2150 1357 3313
212 1515 1212 2947
213 402 3619 4570
214 1982 674 2618
215 1486 1592 3501
216 2130 2900 4792
217 1199 4455 5311
218 2293 994 3452
219 1873 3505 5576
220 1047 2046 3566
221 1138 2825 4230
222 2159 1323 3283
223 1350 741 2037
224 1105 3512 5220
225 2256 2246 4996
226 1272 1938 3315
227 2108 2112 3990
228 353 649 936
229 2217 3989 5897
230 1885 2929 5762
231 533 1627 2371
232 1574 4579 5780
233 435 3569 3967
234 1063 1749 2908
235 744 2204 3302
236 261 975 1314
237 722 4583 6150
238 1627 4361 5528
239 549 3068 3855
240 1957 3062 5158
241 336 4386 4918
242 1133 2691 3696
243 344 1237 1604
244 637 1004 1494
245 1648 356 2152
246 237 3326 3275
247 1594 2781 4374
248 559 1816 2388
249 115 2887 3493
250 649 2073 2484
251 60 1805 1913
252 268 2875 2905
253 360 2700 2758
254 1362 3109 5287
255 802 3111 3990
256 208 2542 2999
257 1281 2139 3272
258 1821 413 2057
259 813 1815 3131
260 1715 3535 5643
261 1453 3523 5651
262 586 1609 2148
263 353 1631 2021
264 1801 2772 5465
265 1444 1524 3234
266 463 2348 2615
267 1972 2201 4455
268 2126 3865 6104
269 232 1946 2585
270 600 1671 2430
271 772 1088 1888
272 1601 3327 4675
273 1974 3548 6285
274 2120 1413 3880
275 1519 2919 5222
276 542 2926 3548
277 508 934 1601
278 771 873 1787
279 479 1830 2131
280 1042 3725 5299
281 277 2571 3225
282 1858 4021 5812
283 1485 4537 6379
284 311 4368 5418
285 1458 213 1782
286 1567 285 2124
287 1909 978 2769
288 1283 2322 3666
289 2238 2641 5300
290 546 2388 3384
291 780 2650 3722
292 1641 1603 3209
293 16 4566 5338
294 15 3525 3646
295 2041 2251 3901
296 1669 1619 3437
297 827 1246 2072
298 305 341 705
299 216 505 816
300 1277 2175 3517
301 2028 1936 3999
302 2262 3327 5657
303 324 2649 2776
304 153 1660 1984
305 1335 348 1761
306 788 2447 2932
307 1200 1841 2988
308 1251 1026 2315
309 1200 16 1274
310 280 1964 2210
311 896 3546 4763
312 539 3196 4418
313 104 1785 2028
314 1118 3264 4583
315 1141 699 1797
316 1275 4421 5846
317 744 509 1236
318 1220 843 1890
319 2229 1536 3943
320 2158 2909 4827
321 746 664 1314
322 1514 2999 4492
323 1508 4257 6197
324 1290 2205 4038
325 554 181 762
326 1350 381 1693
327 1241 3734 5969
328 289 2503 3023
329 1612 1559 3587
330 1872 2056 4206
331 2195 2099 4217
332 2076 3953 6809
333 2299 912 2962
334 1793 2960 5621
335 303 2632 3273
336 742 1212 2010
337 1232 4593 5486
338 676 1946 2509
339 1697 141 1832
340 435 1592 1915
341 769 1162 2061
342 2156 1463 3548
343 1741 3051 4375
344 306 2691 3203
345 332 3363 3472
346 63 530 687
347 809 1492 2755
348 288 3971 4673
349 1164 4395 6547
350 2002 2454 4431
351 632 15 656
352 2034 783 2669
353 477 3977 5105
354 839 2256 3594
355 57 2070 2476
356 1747 1933 3416
357 1982 3801 5238
358 996 3432 4089
359 1237 674 2010
360 2170 1527 3579
361 1646 104 1907
362 1957 1486 3778
363 1285 3161 4488
364 209 3592 4364
365 408 1802 2254
366 1068 2851 3750
367 216 3494 3704
