500 7000 18000
1 270 2245 2848
2 605 1207 1685
3 170 1962 2260
4 137 2383 2881
5 261 353 639
6 377 562 898
7 18 3051 3194
8 260 2782 3644
9 143 2558 3013
10 228 1170 1666
11 332 533 1005
12 336 2754 2989
13 605 78 634
14 310 838 1256
15 140 1611 2096
16 74 1467 1390
17 13 114 1344
18 469 129 697
19 200 2493 2718
20 603 1275 1943
21 147 331 543
22 594 3218 4362
23 418 3293 4205
24 280 3506 3604
25 125 969 1068
26 189 1420 1548
27 381 587 1021
28 338 2499 2680
29 475 2031 2521
30 696 2559 3883
31 151 552 747
32 35 3356 3663
33 82 2012 2134
34 295 2955 3202
35 269 2485 2974
36 423 1584 1892
37 304 162 483
38 692 563 1259
39 100 1140 1217
40 370 1216 1719
41 77 2786 2606
42 296 1559 1786
43 136 174 1083
44 71 541 571
45 470 301 750
46 263 344 592
47 56 26 1432
48 390 3399 3587
49 65 155 1487
50 611 536 1075
51 167 2387 2899
52 509 2783 3724
53 51 295 1371
54 265 1062 1576
55 588 3489 4189
56 639 727 1291
57 335 1928 2633
58 433 996 1491
59 590 373 1048
60 66 208 306
61 692 2456 3261
62 193 2916 3477
63 595 2529 3031
64 168 571 730
65 371 3496 3730
66 130 93 1368
67 408 2133 2751
68 485 1991 2794
69 276 632 954
70 152 2890 2843
71 454 1955 2210
72 606 2008 2585
73 556 1499 2052
74 373 18 363
75 638 2843 3469
76 44 349 450
77 257 2176 2819
78 153 2240 2664
79 9 2094 2493
80 104 144 1468
81 167 2089 2609
82 79 2564 3154
83 651 3277 4631
84 695 2281 3437
85 159 903 1064
86 513 2975 3736
87 391 3434 3457
88 511 2673 3089
89 507 2251 3268
90 435 1266 1623
91 144 37 209
92 536 1059 1791
93 531 3062 3648
94 624 206 809
95 428 3024 3593
96 66 1086 1203
97 273 2360 2874
98 438 1860 2699
99 272 1786 1962
100 632 1139 1754
101 13 292 278
102 353 3461 3852
103 370 2407 2649
104 442 3060 3188
105 412 89 591
106 655 2162 3031
107 680 2949 4171
108 562 450 1055
109 632 3497 4184
110 441 2444 2979
111 654 423 1187
112 99 765 1003
113 269 1205 1466
114 599 2869 4018
115 636 2445 2930
116 507 1271 1809
117 144 1773 1885
118 531 908 1547
119 647 2904 3609
120 72 417 573
121 475 468 862
122 653 2116 2817
123 431 3322 3520
124 390 2954 3062
125 527 3113 3373
126 216 412 724
127 35 2547 2723
128 342 3174 3466
129 587 734 1431
130 410 1655 2248
131 550 1588 2313
132 77 532 571
133 314 2004 2643
134 355 1797 2127
135 362 3007 3894
136 624 1910 2362
137 617 1788 2550
138 334 1415 1754
139 664 1348 2056
140 4 2348 2743
141 32 294 341
142 317 478 737
143 433 1637 2209
144 411 2440 3212
145 504 709 1372
146 664 603 1144
147 374 401 877
148 252 1258 1461
149 263 360 561
150 513 2319 3216
151 340 2779 3598
152 634 1925 2502
153 209 2305 2664
154 149 3435 3981
155 567 3540 4688
156 373 3063 3480
157 515 1505 1973
158 260 560 882
159 498 1979 2664
160 42 43 1038
161 583 377 1046
162 88 88 1181
163 488 2419 2891
164 526 1306 2037
165 317 697 1114
166 182 1386 1684
167 683 669 1316
168 626 60 753
169 3 1156 1085
170 570 897 1377
171 141 2888 3257
172 80 3579 4324
173 525 1529 2337
174 110 188 1383
175 429 2647 2999
176 663 1992 3162
177 536 3466 3715
178 603 2486 3565
179 685 1259 2053
180 114 147 1170
181 350 2024 2817
182 485 2759 3140
183 554 339 900
184 273 1870 2040
185 507 3428 4147
186 81 408 491
187 104 1570 1589
188 93 25 124
189 29 3598 3955
190 518 3033 3560
191 538 1097 1478
192 191 1846 1851
193 96 920 965
194 359 269 600
195 207 823 1067
196 624 2101 3202
197 121 1732 1877
198 162 1748 1951
199 54 3103 3231
200 494 2984 3549
201 374 689 1235
202 555 3360 4000
203 326 146 511
204 264 1679 1788
205 111 337 1195
206 280 2880 3743
207 193 367 571
208 333 925 1218
209 638 436 1178
210 438 1574 1925
211 685 1929 2886
212 417 2672 3377
213 507 2429 3112
214 205 2115 2261
215 141 2561 2807
216 697 1388 2205
217 507 1995 2690
218 211 857 1060
219 126 1158 1298
220 294 1807 2159
221 172 1456 1510
222 181 887 1200
223 407 1147 1640
224 685 1437 2352
225 626 525 1194
226 687 2096 2700
227 92 912 1106
228 548 85 759
229 130 771 1013
230 623 2404 2772
231 389 23 383
232 270 648 998
233 562 2883 3627
234 485 1123 1869
235 641 1200 2169
236 602 2121 2500
237 594 2093 2733
238 19 176 1307
239 111 2876 3025
240 296 742 1009
241 340 1315 1751
242 366 251 694
243 625 2925 3794
244 357 3507 3697
245 568 3334 4673
246 571 3509 4450
247 620 3123 3638
248 418 1983 2356
249 43 503 631
250 298 3567 4600
251 621 2815 3701
252 40 195 1106
253 211 439 637
254 144 106 289
255 621 2642 3427
256 29 681 688
257 476 1687 2128
258 288 40 372
259 261 3566 3838
260 472 3594 4867
261 444 311 777
262 189 3240 3293
263 542 2740 3509
264 396 2126 2376
265 271 2298 2923
266 384 1644 2095
267 68 2963 3262
268 569 2439 2834
269 674 2447 3614
270 356 2742 3713
271 434 3118 3730
272 464 2581 3150
273 47 1400 1659
274 411 2373 3222
275 59 789 831
276 538 3418 4725
277 634 405 969
278 337 2492 2691
279 409 2538 2860
280 444 1927 2237
281 617 1449 2377
282 233 1595 1852
283 138 221 388
284 347 652 926
285 116 3411 4060
286 301 1314 1548
287 33 1759 1633
288 497 1082 1670
289 448 2934 3827
290 585 820 1543
291 531 1729 2144
292 310 468 716
293 331 1745 2389
294 588 177 795
295 63 965 1203
296 650 984 1674
297 21 349 1016
298 580 474 1085
299 129 2347 2698
300 208 170 360
301 320 2085 2744
302 481 2192 2677
303 582 1605 2008
304 444 745 1355
305 559 2449 3505
306 70 260 310
307 638 371 977
308 8 318 1064
309 410 2969 3436
310 400 2920 3574
311 459 1318 1722
312 687 1620 2505
313 95 3359 4052
314 346 1291 1480
315 195 719 1057
316 419 1089 1646
317 134 252 1254
318 543 3295 3914
319 161 2976 3150
320 34 545 574
321 509 2793 3624
322 508 726 1206
323 323 3481 4177
324 236 2275 2390
325 327 1103 1536
326 180 3167 3345
327 606 2412 3465
328 510 3064 4097
329 488 3142 3795
330 265 1101 1451
331 639 3465 4465
332 397 1154 1400
333 66 3505 3500
334 155 560 676
335 370 2449 2685
336 414 338 741
337 445 127 637
338 65 264 324
339 646 1445 2108
340 358 392 823
341 126 2354 2744
342 93 352 1341
343 322 3575 4427
344 623 3302 3727
345 135 91 1051
346 527 2544 2844
347 345 1591 1851
348 145 1196 1300
349 224 666 862
350 365 2705 3215
351 690 3575 4044
352 348 3436 4390
353 495 530 1093
354 516 2876 4027
355 19 1398 1612
356 559 3318 4601
357 400 514 1084
358 124 1298 1415
359 453 23 434
360 282 2301 2723
361 232 1996 2261
362 467 2677 3213
363 449 3227 3796
364 478 2559 2919
365 581 1633 2046
366 538 1332 1711
367 52 2562 2398
368 285 2863 3697
369 371 162 638
370 25 2641 2933
371 335 1293 1776
372 218 94 301
373 188 1056 1234
374 154 2222 2722
375 110 101 1151
376 560 909 1504
377 144 1691 2108
378 406 906 1542
379 404 2980 3211
380 135 2476 3019
381 100 3173 3481
382 625 2296 2787
383 44 98 1033
384 520 1196 1840
385 506 1504 1970
386 369 3192 3802
387 572 328 963
388 492 1871 2406
389 650 1738 2709
390 314 1659 2009
391 690 2248 2714
392 12 3062 2876
393 637 119 882
394 378 1490 2188
395 513 1778 2617
396 629 2289 3075
397 565 2935 3325
398 558 429 1146
399 579 2455 3304
400 365 2258 2499
401 42 1082 1100
402 543 2576 3237
403 657 425 1089
404 191 922 1270
405 562 1202 2043
406 65 137 182
407 627 2568 3490
408 410 3145 3579
409 649 2369 2972
410 573 234 945
411 360 1798 2577
412 698 2832 3641
413 544 549 1085
414 686 1588 2521
415 155 258 406
416 140 353 1283
417 377 1378 1858
418 659 1192 2033
419 127 63 1265
420 209 2301 2751
421 81 80 1471
422 377 168 602
423 603 1662 2655
424 442 389 770
425 403 375 774
426 327 1027 1470
427 381 3598 4640
428 193 2216 2696
429 422 1601 1962
430 239 972 1414
431 234 3010 3839
432 565 26 601
433 391 2151 2715
434 545 323 852
435 595 2955 3829
436 321 1146 1696
437 649 1690 2412
438 144 1544 1600
439 305 3560 4448
440 349 346 652
441 88 299 1248
442 658 3278 4141
443 29 2156 2374
444 66 170 1286
445 10 331 1272
446 571 469 1218
447 164 968 1331
448 397 3500 4436
449 78 1914 1805
450 313 366 725
451 54 2907 2973
452 587 2512 3264
453 192 2346 2611
454 73 3178 3485
455 10 2744 3028
456 218 2616 2660
457 198 924 1044
458 204 442 703
459 439 2000 2519
460 177 2741 3502
461 252 865 1108
462 478 2847 3276
463 539 402 883
464 495 1271 1798
465 420 1162 1441
466 492 2603 2946
467 403 1825 2058
468 84 1903 2035
469 418 1415 1816
470 153 1997 2465
471 236 3245 3360
472 553 1216 2095
473 231 858 1045
474 552 2359 2722
475 363 1336 1690
476 87 3193 3589
477 689 325 995
478 42 2059 2370
479 577 2738 3212
480 191 3483 4261
481 144 2007 2250
482 625 233 1018
483 187 12 222
484 271 776 1079
485 253 2753 2842
486 126 145 263
487 561 2408 3412
488 346 81 476
489 690 1030 1959
490 470 2854 3267
491 238 1094 1269
492 627 2502 3726
493 23 2485 2395
494 597 1608 2429
495 609 3079 3499
496 198 3528 3519
497 230 1345 1568
498 277 1736 2166
499 332 1517 1757
500 224 1466 1726

54933
